GENE_ID	CHR	START	END	GENENAME	MITO_CATEGORY
TCALIF_00648-PA	Chromosome_2	5669915	5670550	Tomm22 Mitochondrial import receptor subunit TOM22 homolog (Mus musculus)	
TCALIF_00652-PA	Chromosome_2	5653922	5654719	"mRpL24 Probable 39S ribosomal protein L24, mitochondrial (Drosophila pseudoobscura pseudoobscura)"	mRP
TCALIF_00664-PA	Chromosome_2	5515057	5521125	Tusc3 Tumor suppressor candidate 3 (Mus musculus)	
TCALIF_00708-PA	Chromosome_2	5067000	5067917	"ABT ADP,ATP carrier protein (Chlamydomonas reinhardtii)"	
TCALIF_00721-PA	Chromosome_2	4955656	4968233	"GLDC Glycine dehydrogenase (decarboxylating), mitochondrial (Gallus gallus)"	
TCALIF_00774-PA	Chromosome_2	4616666	4619720	"DLST Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (Bos taurus)"	
TCALIF_01282-PA	Chromosome_2	10088377	10092283	"Mrpl38 39S ribosomal protein L38, mitochondrial (Rattus norvegicus)"	mRP
TCALIF_01296-PA	Chromosome_2	10189456	10194978	"ABAT 4-aminobutyrate aminotransferase, mitochondrial (Sus scrofa)"	
TCALIF_01595-PA	Chromosome_2	7256806	7257619	"isca1 Iron-sulfur cluster assembly 1 homolog, mitochondrial (Danio rerio)"	
TCALIF_01599-PA	Chromosome_2	7242969	7244320	"bonsai 28S ribosomal protein S15, mitochondrial (Drosophila melanogaster)"	mRP
TCALIF_01649-PA	Chromosome_2	6913346	6917905	Protein of unknown function	
TCALIF_01662-PA	Chromosome_2	6821467	6822517	Tom40 Mitochondrial import receptor subunit TOM40 homolog 1 (Drosophila melanogaster)	
TCALIF_04502-PA	Chromosome_2	3100865	3104115	"PRDX3 Thioredoxin-dependent peroxide reductase, mitochondrial (Pongo abelii)"	
TCALIF_04503-PA	Chromosome_2	3102182	3103657	"SHMT2 Serine hydroxymethyltransferase, mitochondrial (Oryctolagus cuniculus)"	
TCALIF_04518-PA	Chromosome_2	2972909	2973778	"Timmdc1 Complex I assembly factor TIMMDC1, mitochondrial (Mus musculus)"	
TCALIF_04535-PA	Chromosome_2	2732678	2734087	"sad Cytochrome P450 315a1, mitochondrial (Drosophila melanogaster)"	
TCALIF_04583-PA	Chromosome_2	11311948	11312487	"MRPS23 28S ribosomal protein S23, mitochondrial (Homo sapiens)"	mRP
TCALIF_04601-PA	Chromosome_2	11450412	11451356	"metap1d Methionine aminopeptidase 1D, mitochondrial (Danio rerio)"	
TCALIF_04952-PA	Chromosome_2	3621519	3626998	Slc25a15 Mitochondrial ornithine transporter 1 (Mus musculus)	
TCALIF_04972-PA	Chromosome_2	3859813	3860397	"Ict1 Peptidyl-tRNA hydrolase ICT1, mitochondrial (Mus musculus)"	
TCALIF_04979-PA	Chromosome_2	4049894	4052418	atad3-b ATPase family AAA domain-containing protein 3-B (Xenopus laevis)	
TCALIF_04991-PA	Chromosome_2	4121951	4123908	"Atpif1 ATPase inhibitor, mitochondrial (Rattus norvegicus)"	
TCALIF_05673-PA	Chromosome_2	13351644	13355478	tamm41 Mitochondrial translocator assembly and maintenance protein 41 homolog (Xenopus laevis)	
TCALIF_06330-PA	Chromosome_2	11947119	11949919	"SARS2 Serine--tRNA ligase, mitochondrial (Bos taurus)"	mtARS
TCALIF_06352-PA	Chromosome_2	12122316	12125226	"PDP1 [Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (Bos taurus)"	
TCALIF_06388-PA	Chromosome_2	13265203	13266125	pam16-b Mitochondrial import inner membrane translocase subunit tim16-B (Xenopus laevis)	
TCALIF_06393-PA	Chromosome_2	13236061	13237419	D2030.4 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 (Caenorhabditis elegans)	Comp-I
TCALIF_06400-PA	Chromosome_2	13186662	13188014	"sad Cytochrome P450 315a1, mitochondrial (Drosophila melanogaster)"	
TCALIF_06408-PA	Chromosome_2	13111921	13113258	"OXSM 3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial (Homo sapiens)"	
TCALIF_06414-PA	Chromosome_2	13089789	13094201	Atp6v0a1 V-type proton ATPase 116 kDa subunit a isoform 1 (Mus musculus)	
TCALIF_07032-PA	Chromosome_2	1448367	1455021	"OGDH 2-oxoglutarate dehydrogenase, mitochondrial (Macaca fascicularis)"	
TCALIF_07035-PA	Chromosome_2	1437382	1438383	UQCR10 Cytochrome b-c1 complex subunit 9 (Bos taurus)	Comp-III
TCALIF_07109-PA	Chromosome_2	10621073	10623931	"Nars2 Probable asparagine--tRNA ligase, mitochondrial (Mus musculus)"	mtARS
TCALIF_07114-PA	Chromosome_2	10597912	10612227	"Echs1 Enoyl-CoA hydratase, mitochondrial (Mus musculus)"	
TCALIF_07130-PA	Chromosome_2	10482954	10485656	"d2hgdh D-2-hydroxyglutarate dehydrogenase, mitochondrial (Danio rerio)"	
TCALIF_08307-PA	Chromosome_2	6566664	6570184	slc9b2 Mitochondrial sodium/hydrogen exchanger 9B2 (Xenopus tropicalis)	
TCALIF_08370-PA	Chromosome_2	14253006	14254820	"NDUFV2 NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (Bos taurus)"	Comp-I
TCALIF_08373-PA	Chromosome_2	14228005	14230567	HCCS Cytochrome c-type heme lyase (Gallus gallus)	
TCALIF_08378-PA	Chromosome_2	14203462	14206045	"hagh Hydroxyacylglutathione hydrolase, mitochondrial (Danio rerio)"	
TCALIF_08385-PA	Chromosome_2	14148436	14152940	"MRPS21 28S ribosomal protein S21, mitochondrial (Homo sapiens)"	mRP
TCALIF_08496-PA	Chromosome_2	204798	208663	CCDC51 Coiled-coil domain-containing protein 51 (Bos taurus)	
TCALIF_08654-PA	Chromosome_2	14465308	14474060	MARC1 Mitochondrial amidoxime-reducing component 1 (Homo sapiens)	
TCALIF_09188-PA	Chromosome_2	13576243	13584896	Vars Valine--tRNA ligase (Mus musculus)	mtARS
TCALIF_09368-PA	Chromosome_2	3298971	3302920	"ACOT9 Acyl-coenzyme A thioesterase 9, mitochondrial (Homo sapiens)"	
TCALIF_09514-PA	Chromosome_2	4397675	4398385	"mRpS7 28S ribosomal protein S7, mitochondrial (Drosophila melanogaster)"	mRP
TCALIF_09747-PA	Chromosome_2	4231664	4232751	"ABHD10 Mycophenolic acid acyl-glucuronide esterase, mitochondrial (Homo sapiens)"	
TCALIF_09758-PA	Chromosome_2	4278325	4288414	romo1 Reactive oxygen species modulator 1 (Xenopus tropicalis)	
TCALIF_09759-PA	Chromosome_2	4285026	4285469	"FDX1 Adrenodoxin, mitochondrial (Sus scrofa)"	
TCALIF_09946-PA	Chromosome_2	6094584	6100326	"Oxct1 Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (Rattus norvegicus)"	
TCALIF_10086-PA	Chromosome_2	2069616	2072148	"CG5463 Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Drosophila melanogaster)"	
TCALIF_10088-PA	Chromosome_2	2083420	2091554	"mRpL55 39S ribosomal protein L55, mitochondrial (Drosophila melanogaster)"	mRP
TCALIF_10425-PA	Chromosome_2	2270800	2272761	PDSS1 Decaprenyl-diphosphate synthase subunit 1 (Homo sapiens)	
TCALIF_10499-PA	Chromosome_2	12692193	12697265	"DLD Dihydrolipoyl dehydrogenase, mitochondrial (Canis familiaris)"	
TCALIF_11246-PA	Chromosome_2	3141779	3144399	"dib Cytochrome P450 302a1, mitochondrial (Drosophila melanogaster)"	
TCALIF_11611-PA	Chromosome_2	477700	482415	PMPCB Mitochondrial-processing peptidase subunit beta (Bos taurus)	
TCALIF_12137-PA	Chromosome_2	5805681	5806748	"MDH2 Malate dehydrogenase, mitochondrial (Bos taurus)"	
TCALIF_12138-PA	Chromosome_2	5803695	5804600	Kole_1935 Probable transcriptional regulatory protein Kole_1935 (Kosmotoga olearia (strain TBF 19.5.1))	
TCALIF_12586-PA	Chromosome_2	2424915	2425958	"MRPL42 39S ribosomal protein L42, mitochondrial (Bos taurus)"	mRP
TCALIF_12591-PA	Chromosome_2	2403733	2414799	mtg1 Mitochondrial ribosome-associated GTPase 1 (Ictalurus punctatus)	
TCALIF_12656-PA	Chromosome_2	14324254	14328642	"ACSM3 Acyl-coenzyme A synthetase ACSM3, mitochondrial (Homo sapiens)"	
TCALIF_15585-PA	Chromosome_2	3270989	3285306	"GCAT 2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial (Homo sapiens)"	
TCALIF_00894-PA	Chromosome_3	9237885	9238772	"mRpL9 39S ribosomal protein L9, mitochondrial (Drosophila melanogaster)"	mRP
TCALIF_00897-PA	Chromosome_3	9216230	9217553	"isoc2 Isochorismatase domain-containing protein 2, mitochondrial (Xenopus laevis)"	
TCALIF_00971-PA	Chromosome_3	8419455	8420608	UQCRQ Cytochrome b-c1 complex subunit 8 (Homo sapiens)	Comp-III
TCALIF_01508-PA	Chromosome_3	73144	73416	mul1 Mitochondrial ubiquitin ligase activator of nfkb 1 (Xenopus laevis)	
TCALIF_01532-PA	Chromosome_3	330442	331972	"MRPL18 39S ribosomal protein L18, mitochondrial (Homo sapiens)"	mRP
TCALIF_01538-PA	Chromosome_3	355397	359074	Nvl Nuclear valosin-containing protein-like (Mus musculus)	
TCALIF_01554-PA	Chromosome_3	528292	529338	"MRPS22 28S ribosomal protein S22, mitochondrial (Homo sapiens)"	mRP
TCALIF_01568-PA	Chromosome_3	601080	604028	"CG7598 Probable complex I intermediate-associated protein 30, mitochondrial (Drosophila melanogaster)"	
TCALIF_01585-PA	Chromosome_3	710453	712511	Ndufa8 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Mus musculus)	Comp-I
TCALIF_01875-PA	Chromosome_3	11030911	11036167	SLC25A27 Mitochondrial uncoupling protein 4 (Homo sapiens)	
TCALIF_01897-PA	Chromosome_3	7801836	7803903	"ACAD8 Isobutyryl-CoA dehydrogenase, mitochondrial (Homo sapiens)"	
TCALIF_01915-PA	Chromosome_3	7958445	7971472	"DHODH Dihydroorotate dehydrogenase (quinone), mitochondrial (Homo sapiens)"	
TCALIF_01917-PA	Chromosome_3	7985715	7988563	"Acadl Long-chain specific acyl-CoA dehydrogenase, mitochondrial (Rattus norvegicus)"	
TCALIF_01918-PA	Chromosome_3	7990435	7991001	"Mcee Methylmalonyl-CoA epimerase, mitochondrial (Mus musculus)"	
TCALIF_01941-PA	Chromosome_3	8268034	8272247	"MRPL37 39S ribosomal protein L37, mitochondrial (Bos taurus)"	mRP
TCALIF_01956-PA	Chromosome_3	8335387	8336808	Glod4 Glyoxalase domain-containing protein 4 (Mus musculus)	
TCALIF_02199-PA	Chromosome_3	10525385	10532455	Cat Catalase (Drosophila melanogaster)	
TCALIF_02200-PA	Chromosome_3	10525595	10528730	"lrpprc Leucine-rich PPR motif-containing protein, mitochondrial (Xenopus tropicalis)"	
TCALIF_02224-PA	Chromosome_3	10213690	10215509	QDPR Dihydropteridine reductase (Bos taurus)	
TCALIF_02254-PA	Chromosome_3	9869827	9873335	"CPT1A Carnitine O-palmitoyltransferase 1, liver isoform (Homo sapiens)"	
TCALIF_02539-PA	Chromosome_3	4886089	4887660	"mRpL23 39S ribosomal protein L23, mitochondrial (Drosophila melanogaster)"	mRP
TCALIF_02560-PA	Chromosome_3	4620494	4621863	Nme2 Nucleoside diphosphate kinase B (Rattus norvegicus)	
TCALIF_03350-PA	Chromosome_3	7433174	7433581	lyrm7 Complex III assembly factor LYRM7 (Xenopus tropicalis)	
TCALIF_03359-PA	Chromosome_3	7535577	7537088	"mRpL51 39S ribosomal protein L51, mitochondrial (Drosophila pseudoobscura pseudoobscura)"	mRP
TCALIF_05035-PA	Chromosome_3	3477971	3478708	"mtSSB Single-stranded DNA-binding protein, mitochondrial (Drosophila melanogaster)"	mtDNA replication
TCALIF_05040-PA	Chromosome_3	3439723	3450070	"ACSS3 Acyl-CoA synthetase short-chain family member 3, mitochondrial (Pongo abelii)"	
TCALIF_05049-PA	Chromosome_3	3396228	3399608	coq6 Ubiquinone biosynthesis monooxygenase COQ6 (Xenopus tropicalis)	
TCALIF_05467-PA	Chromosome_3	1934136	1953930	"TUFM Elongation factor Tu, mitochondrial (Homo sapiens)"	EF
TCALIF_05556-PA	Chromosome_3	1532560	1536290	"MRPL21 39S ribosomal protein L21, mitochondrial (Bos taurus)"	mRP
TCALIF_05557-PA	Chromosome_3	1520057	1527810	"Clpx ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial (Mus musculus)"	
TCALIF_05837-PA	Chromosome_3	9549059	9555973	"ATPsyn-b ATP synthase subunit b, mitochondrial (Drosophila melanogaster)"	Comp-V
TCALIF_05842-PA	Chromosome_3	9589366	9590643	SCCPDH Saccharopine dehydrogenase-like oxidoreductase (Homo sapiens)	
TCALIF_06032-PA	Chromosome_3	1026208	1027560	MTCH2 Mitochondrial carrier homolog 2 (Bos taurus)	
TCALIF_06699-PA	Chromosome_3	12760909	12767252	"MRPL1 39S ribosomal protein L1, mitochondrial (Bos taurus)"	mRP
TCALIF_08804-PA	Chromosome_3	6606615	6607281	Lyrm5 LYR motif-containing protein 5 (Mus musculus)	
TCALIF_09109-PA	Chromosome_3	12104573	12126841	"NDUFA9 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Bos taurus)"	Comp-I
TCALIF_09908-PA	Chromosome_3	5508770	5512160	Immp1l Mitochondrial inner membrane protease subunit 1 (Mus musculus)	
TCALIF_10166-PA	Chromosome_3	5961271	5961804	"mRpS24 28S ribosomal protein S24, mitochondrial (Drosophila melanogaster)"	mRP
TCALIF_10585-PA	Chromosome_3	6858846	6869841	"Hars Histidine--tRNA ligase, cytoplasmic (Mus musculus)"	mtARS
TCALIF_11524-PA	Chromosome_3	11586495	11588269	"AADAT Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (Homo sapiens)"	
TCALIF_11683-PA	Chromosome_3	10710746	10717380	timm8a Mitochondrial import inner membrane translocase subunit Tim8 A (Danio rerio)	
TCALIF_12805-PA	Chromosome_3	6553627	6554759	"Etfdh Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (Mus musculus)"	
TCALIF_02280-PA	Chromosome_4	1467572	1470036	Kars Lysine--tRNA ligase (Mus musculus)	mtARS
TCALIF_02758-PA	Chromosome_4	2208110	2213861	"ECSIT Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial (Drosophila melanogaster)"	
TCALIF_02765-PA	Chromosome_4	2106722	2108744	"Aldh2 Aldehyde dehydrogenase, mitochondrial (Rattus norvegicus)"	
TCALIF_02766-PA	Chromosome_4	2104392	2106653	ENOSF1 Mitochondrial enolase superfamily member 1 (Homo sapiens)	
TCALIF_02774-PA	Chromosome_4	2024882	2025916	"PARL Presenilins-associated rhomboid-like protein, mitochondrial (Bos taurus)"	
TCALIF_02907-PA	Chromosome_4	816257	818934	Cry2 Cryptochrome-2 (Mus musculus)	
TCALIF_03098-PA	Chromosome_4	10651276	10652587	"CYC1 Cytochrome c1, heme protein, mitochondrial (Homo sapiens)"	Comp-III
TCALIF_03111-PA	Chromosome_4	10816334	10818428	"Uncharacterized protein C2orf47 homolog, mitochondrial (Rattus norvegicus)"	
TCALIF_03319-PA	Chromosome_4	5794058	5802638	"CoVa Cytochrome c oxidase subunit 5A, mitochondrial (Drosophila melanogaster)"	Comp-IV
TCALIF_03322-PA	Chromosome_4	5781496	5784408	UCP2 Mitochondrial uncoupling protein 2 (Sus scrofa)	
TCALIF_03474-PA	Chromosome_4	9582010	9583320	"Pdk [Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial (Drosophila melanogaster)"	
TCALIF_03479-PA	Chromosome_4	9635217	9643526	COX15 Cytochrome c oxidase assembly protein COX15 homolog (Homo sapiens)	Comp-IV
TCALIF_03482-PA	Chromosome_4	9648662	9653713	"Gsr Glutathione reductase, mitochondrial (Mus musculus)"	
TCALIF_03740-PA	Chromosome_4	8524714	8538763	"cps-6 Endonuclease G, mitochondrial (Caenorhabditis elegans)"	
TCALIF_03746-PA	Chromosome_4	8495878	8501007	"Aats-ala-m Alanine--tRNA ligase, mitochondrial (Drosophila melanogaster)"	mtARS
TCALIF_04376-PA	Chromosome_4	3947644	3956795	"Gls Glutaminase kidney isoform, mitochondrial (Mus musculus)"	
TCALIF_05147-PA	Chromosome_4	13312837	13315486	Rab35 Ras-related protein Rab-35 (Rattus norvegicus)	
TCALIF_05156-PA	Chromosome_4	13257310	13264301	"CG4495 Calcium uptake protein 1 homolog, mitochondrial (Drosophila melanogaster)"	
TCALIF_05252-PA	Chromosome_4	7931909	7932301	"mRpS16 Probable 28S ribosomal protein S16, mitochondrial (Drosophila melanogaster)"	mRP
TCALIF_05366-PA	Chromosome_4	5412000	5417909	"Chchd2 Coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial (Mus musculus)"	
TCALIF_05522-PA	Chromosome_4	11964522	11972366	"PRELID1 PRELI domain-containing protein 1, mitochondrial (Gallus gallus)"	
TCALIF_05872-PA	Chromosome_4	4685299	4694126	"NDUFB5 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Macaca fascicularis)"	Comp-I
TCALIF_05883-PA	Chromosome_4	4778643	4783823	NDUFA13 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Macaca fascicularis)	Comp-I
TCALIF_06431-PA	Chromosome_4	3692133	3700557	SCP2 Non-specific lipid-transfer protein (Oryctolagus cuniculus)	
TCALIF_07222-PA	Chromosome_4	8942978	8943585	mrps17 28s ribosomal protein mitochondrial (Bos taurus)	mRP
TCALIF_07223-PA	Chromosome_4	8932873	8938952	"Gls Glutaminase kidney isoform, mitochondrial (Rattus norvegicus)"	
TCALIF_07651-PA	Chromosome_4	3090453	3100214	"Slc8b1 Sodium/potassium/calcium exchanger 6, mitochondrial (Rattus norvegicus)"	
TCALIF_07823-PA	Chromosome_4	12564749	12568882	"RTN4IP1 Reticulon-4-interacting protein 1, mitochondrial (Homo sapiens)"	
TCALIF_07824-PA	Chromosome_4	12557016	12567438	"IDH3B Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Bos taurus)"	
TCALIF_07825-PA	Chromosome_4	12556339	12556902	"Mrpl12 39S ribosomal protein L12, mitochondrial (Mus musculus)"	mRP
TCALIF_08021-PA	Chromosome_4	187504	192715	"Sucla2 Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Mus musculus)"	
TCALIF_08039-PA	Chromosome_4	460276	463480	"IARS2 Isoleucine--tRNA ligase, mitochondrial (Gallus gallus)"	mtARS
TCALIF_08043-PA	Chromosome_4	12433982	12436166	Sirt3 NAD-dependent protein deacetylase sirtuin-3 (Mus musculus)	
TCALIF_08055-PA	Chromosome_4	12296852	12297742	Slc25a20 Mitochondrial carnitine/acylcarnitine carrier protein (Mus musculus)	
TCALIF_09082-PA	Chromosome_4	10037035	10038724	Ddx28 Probable ATP-dependent RNA helicase DDX28 (Mus musculus)	
TCALIF_09692-PA	Chromosome_4	7034189	7034965	"D10Jhu81e ES1 protein homolog, mitochondrial (Mus musculus)"	
TCALIF_09816-PA	Chromosome_4	6858486	6860921	"eral1 GTPase Era, mitochondrial (Danio rerio)"	
TCALIF_09929-PA	Chromosome_4	693026	700691	"GCDH Glutaryl-CoA dehydrogenase, mitochondrial (Bos taurus)"	
TCALIF_10396-PA	Chromosome_4	7191155	7194864	"PDPR Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial (Bos taurus)"	
TCALIF_10405-PA	Chromosome_4	7341494	7342312	l(2)37Cc Protein l(2)37Cc (Drosophila melanogaster)	
TCALIF_11127-PA	Chromosome_4	4421709	4422326	"PTRH2 Peptidyl-tRNA hydrolase 2, mitochondrial (Homo sapiens)"	
TCALIF_11140-PA	Chromosome_4	6962081	6965380	"STOML2 Stomatin-like protein 2, mitochondrial (Homo sapiens)"	
TCALIF_11477-PA	Chromosome_4	9930486	9934282	"STAR Steroidogenic acute regulatory protein, mitochondrial (Ovis aries)"	
